neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
North Braddock,6038,1088,8,85,8896,1240,2023-04-10
North Fayette,17541,1713,28,122,26071,3647,2023-04-10
North Oakland (Pittsburgh),9557,535,11,55,29012,1703,2023-04-10
North Shore (Pittsburgh),687,36,0,4,2362,121,2023-04-10
North Versailles,13739,1885,27,244,20299,2705,2023-04-10
Northview Heights (Pittsburgh),2062,274,7,31,3309,387,2023-04-10
O'Hara,8429,726,14,116,17931,1863,2023-04-10
Oakdale,2157,174,6,22,2739,354,2023-04-10
Oakmont,16779,2245,32,118,28177,1811,2023-04-10
Oakwood (Pittsburgh),924,84,3,18,1740,245,2023-04-10
Ohio,12194,2213,7,53,19086,1792,2023-04-10
Overbrook (Pittsburgh),5590,605,9,52,7482,939,2023-04-10
Penn Hills,61038,8805,127,801,91312,10879,2023-04-10
Pennsbury Village,893,123,0,3,1270,179,2023-04-10
Perry North (Pittsburgh),5202,615,9,58,8462,1070,2023-04-10
Perry South (Pittsburgh),5961,666,18,86,9994,1171,2023-04-10
Pine,15900,1216,15,90,26958,3237,2023-04-10
Pitcairn,4185,501,13,67,6258,781,2023-04-10
Pleasant Hills,13483,1540,40,121,19850,2364,2023-04-10
Plum,33065,4640,75,367,48351,6152,2023-04-10
Point Breeze (Pittsburgh),5842,375,5,26,16079,1275,2023-04-10
Point Breeze North (Pittsburgh),2811,323,3,33,6066,583,2023-04-10
Polish Hill (Pittsburgh),1632,107,1,13,3432,297,2023-04-10
Port Vue,5916,1137,15,88,8204,1298,2023-04-10
Rankin,1551,225,1,32,2811,368,2023-04-10
Regent Square (Pittsburgh),1145,79,2,7,2801,247,2023-04-10
Reserve,3522,302,8,40,5829,826,2023-04-10
Richland,15633,1827,55,132,20361,2678,2023-04-10
Ridgemont (Pittsburgh),674,55,1,1,886,135,2023-04-10
Robinson,25036,3467,26,160,38596,4164,2023-04-10
Ross,53151,6702,164,485,80186,8029,2023-04-10
Rosslyn Farms,329,9,1,3,667,85,2023-04-10
Scott,42286,6439,87,176,56175,4724,2023-04-10
Sewickley,3584,296,5,18,7261,765,2023-04-10
Sewickley Heights,881,35,1,3,1890,168,2023-04-10
